filename,product,document_type,language,document_date,data_as_of,official_url,sha256,pages,size_bytes,verification
"GlobalX_3416_KFS_EN_current_20260716.pdf","Global X HSCEI Covered Call Active ETF (3416)","Product Key Facts Statement","EN","2026-07-16","","https://investments.miraeasset.com.hk/docs/ETF/eKFS-18-Global-X-HSCEI-Covered-Call-Active-ETF_listed.pdf?v=6","0ee46c14acae5cad0d62c7190430b83b28cb2069aec454653aeeb6c1786a2f43","10","355746","PDF parsed; text extracted"
"GlobalX_3416_Factsheet_EN_asof_20260531.pdf","Global X HSCEI Covered Call Active ETF (3416)","Factsheet","EN","2026-06-05","2026-05-31","https://investments.miraeasset.com.hk/docs/ETF/3416e.pdf?v=6","d7d9d2e0a6486ccf362862a875afe2428f5ae8ee4487c9c4df7a6994ecc30d0d","1","173803","PDF parsed; text extracted"
"GlobalX_3417_KFS_EN_current_20260716.pdf","Global X Hang Seng TECH Covered Call Active ETF (3417)","Product Key Facts Statement","EN","2026-07-16","","https://investments.miraeasset.com.hk/docs/ETF/eKFS-Global-X-Hang-Seng-TECH-Covered-Call-Active-ETF_listed.pdf?v=6","f17876fc98f616d9a969e25b0da439df17bf9c0a2846a5a7881053d71fb56803","9","335299","PDF parsed; text extracted"
"GlobalX_3417_Factsheet_EN_asof_20260531.pdf","Global X Hang Seng TECH Covered Call Active ETF (3417)","Factsheet","EN","2026-06-05","2026-05-31","https://investments.miraeasset.com.hk/docs/ETF/3417e.pdf?v=6","a0a066ec2c86d28192dae9beab356cddd03a882e1ab1f527cd6206b8c4419b0f","1","169061","PDF parsed; text extracted"
"GlobalX_3419_KFS_EN_current_20260716.pdf","Global X HSI Covered Call Active ETF (3419)","Product Key Facts Statement","EN","2026-07-16","","https://investments.miraeasset.com.hk/docs/ETF/eKFS-17-Global-X-HSI-Covered-Call-Active-ETF_listed.pdf?v=6","b7f6a00d3840b7ce317b7bd9b3d30171dd9e622ec1b3bfb9311b53b8200fa0dc","9","345446","PDF parsed; text extracted"
"GlobalX_3419_Factsheet_EN_asof_20260531.pdf","Global X HSI Covered Call Active ETF (3419)","Factsheet","EN","2026-06-05","2026-05-31","https://investments.miraeasset.com.hk/docs/ETF/3419e.pdf?v=6","cef922015dd072c7413bc25531f010fa56409a529c61a351b985abb7ba535dce","1","203638","PDF parsed; text extracted"
"GlobalX_3110_KFS_EN_20260430.pdf","Global X Hang Seng High Dividend Yield ETF (3110)","Product Key Facts Statement","EN","2026-04-30","","https://investments.miraeasset.com.hk/docs/ETF/eKFS-2-Global-X-Hang-Seng-High-Dividend-Yield-ETF_listed.pdf?v=6","d7ede32aa7e404f2e967597a1140c8c67fdd55e9895d605ceb900319363115c7","11","473929","PDF parsed; text extracted"
"GlobalX_3110_Factsheet_EN_asof_20260531.pdf","Global X Hang Seng High Dividend Yield ETF (3110)","Factsheet","EN","2026-06-05","2026-05-31","https://investments.miraeasset.com.hk/docs/ETF/3110e.pdf?v=6","32648ec60fc8b39af377bf9af7368cdbc63a60f6d167838e4b0fe51bb74855b7","1","139352","PDF parsed; text extracted"
"HSVM_2828_KFS_EN_20260430.pdf","Hang Seng China Enterprises Index ETF (2828)","Product Key Facts Statement","EN","2026-04-30","","https://www.hangsenginvestment.com/cms/ivp/hsvm/document/2828_kfs_e.pdf","94af61f1de3e1e3f4edb6a65435c612543f146755b9539d4d2d7699371fae9e5","9","363467","PDF parsed; text extracted"
"HSVM_2828_MonthlyFactsheet_EN_20260715.pdf","Hang Seng China Enterprises Index ETF (2828)","Monthly Factsheet","EN","2026-07-15","2026-06-30","https://www.hangsenginvestment.com/cms/ivp/hsvm/document/etf_h_shares_en.pdf","96e264441fea652dfb589b29189585d2773940766cbd8d618cc3048bd4cd1517","3","841071","PDF parsed; text extracted"
"KraneShares_KLIP_Factsheet_EN_asof_20260630.pdf","KraneShares KWEB Covered Call Strategy ETF (KLIP)","Factsheet","EN","2026-07-07","2026-06-30","https://kraneshares.com/resources/factsheet/klip_factsheet.pdf","0ec75e56085e9ea9d9e713fdc471f594ebd06eee27a50d2cb381cbc28c78bdd1","2","75223","PDF parsed; text extracted"
"KraneShares_KLIP_SummaryProspectus_EN_20260625.pdf","KraneShares KWEB Covered Call Strategy ETF (KLIP)","Summary Prospectus with supplements","EN","2026-06-25","","https://kraneshares.com/resources/compliance/2026_06_25_klip_summary.prospectus.pdf","8771fb76e2036a323c2dfe862f3c513498fe6c2db3a45b551d7ebba890956c56","23","450426","PDF parsed; text extracted"
