filename,document_type,language,document_date,data_as_of,source,source_url,downloaded_at,sha256,pages,size_bytes,validation
2802_prospectus_2026-06-29_en.pdf,prospectus,English,2026-06-29,,SFC,https://apps.sfc.hk/productlistWeb/searchProduct/getDoc.do?lang=EN&docId=125479,2026-07-17,63a856c4e000262ccf5523404ecd7f25b96154e0f95ecb51f06cf4f0580ac2ec,1013,13560708,PDF parsed successfully
2802_prospectus_2026-06-29_tc.pdf,prospectus,Traditional Chinese,2026-06-29,,SFC,https://apps.sfc.hk/productlistWeb/searchProduct/getDoc.do?lang=TC&docId=125479,2026-07-17,136ed6a513db00f19f88ab6e9a8b496912cb14545e80c565bac74fd46bba763d,799,15086445,PDF parsed successfully
2802_kfs_listed_2026-04-30_en.pdf,listed KFS,English,2026-04-30,,HKEX,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902202.pdf,2026-07-17,b175f9417ca0d9bac5ac9c6810e6033c1e35465a9ca5c421118a89effe2176da,10,407804,PDF parsed successfully
2802_kfs_listed_2026-04-30_tc.pdf,listed KFS,Traditional Chinese,2026-04-30,,HKEX,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0429/2026042902203_c.pdf,2026-07-17,c3a1f04f6c98a9482c59fbd7f418a5fd1463585a14b386bb4d779b01a0f59e1d,9,639957,PDF parsed successfully
2802_kfs_unlisted_2026-04-30_en.pdf,unlisted KFS,English,2026-04-30,,SFC,https://apps.sfc.hk/productlistWeb/searchProduct/getDoc.do?lang=EN&docId=123607,2026-07-17,1a3c016b4c984187d20242da109abd12a4cf077a2c0a7e708edc16ddf230bf6c,10,382328,PDF parsed successfully
2802_kfs_unlisted_2026-04-30_tc.pdf,unlisted KFS,Traditional Chinese,2026-04-30,,SFC,https://apps.sfc.hk/productlistWeb/searchProduct/getDoc.do?lang=TC&docId=123607,2026-07-17,a071a0811b1669e2605761c03bdd6c1be2c3e5ee56f68b898e374e06342c35db,8,622006,PDF parsed successfully
2802_prospectus_initial_2025-12-08_en.pdf,initial prospectus,English,2025-12-08,,HKEX,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1205/2025120500498.pdf,2026-07-17,c5001651703b4a568747ddc4ffc78518fbc216946bb42b7259d5c2932a8786a2,904,13472489,PDF parsed successfully
2802_prospectus_initial_2025-12-08_tc.pdf,initial prospectus,Traditional Chinese,2025-12-08,,HKEX,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1205/2025120500499_c.pdf,2026-07-17,bb0f42cf277c3f98a1f55304e0043b14ed7fa96fc55f9ccc4ed94ef7fdff5be1,714,13618141,PDF parsed successfully
2802_kfs_listed_initial_2025-12-08_en.pdf,initial listed KFS,English,2025-12-08,,HKEX,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1205/2025120500464.pdf,2026-07-17,dd626b78c264aa090b6ef8abc0905815d8d0818546d4ab7c4ca49765f13c600b,10,415976,PDF parsed successfully
2802_kfs_listed_initial_2025-12-08_tc.pdf,initial listed KFS,Traditional Chinese,2025-12-08,,HKEX,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1205/2025120500465_c.pdf,2026-07-17,4f9795b56e11f42bd5f20575ca310a46944902c6b6e773d24b268a00645e234b,9,646649,PDF parsed successfully
2802_indicative_nav_2025-12-10_en.pdf,indicative NAV announcement,English,2025-12-10,,HKEX,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1210/2025121000481.pdf,2026-07-17,c7376cd574924358a55d31ca1a5aae3a27ee55db96750cbc4394e7fff8102d0b,2,173781,PDF parsed successfully
2802_indicative_nav_2025-12-10_tc.pdf,indicative NAV announcement,Traditional Chinese,2025-12-10,,HKEX,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1210/2025121000482_c.pdf,2026-07-17,c13bef59078626c6cb835e301ab9363584d568d36ee444168fba70ee8741d164,2,331708,PDF parsed successfully
2802_brochure_en.pdf,brochure,English,not stated,2025-10-31,CSOP,https://csop.onlineminisite.com/hsceicoveredcall/pdf/brochure_en.pdf,2026-07-17,6456ba41c2b4c8ff03560ab813b2fba1f02bc0dae795582a59ba5bc17bc50da7,2,699250,PDF parsed successfully
2802_brochure_tc.pdf,brochure,Traditional Chinese,not stated,2025-10-31,CSOP,https://csop.onlineminisite.com/hsceicoveredcall/pdf/brochure_tc.pdf,2026-07-17,8f6468b9b16f7b4060bf3be518d87b6bb95a96e7d368958edd571698307cb4a8,2,1177556,PDF parsed successfully
