field,value,source
snapshot_date,2026-07-16,CSOP 2802 product page
nav_hkd,7.2903,CSOP 2802 product page
close_hkd,7.28,CSOP 2802 product page
aum_hkd,9156658086.77,CSOP 2802 product page
units_outstanding,1256000000,CSOP 2802 product page
displayed_annualized_distribution_rate,0.2453,CSOP 2802 product page
hscei_level,8318.14,CSOP 2802 product page
short_call,HSCEI 2026-07-30 C7700,CSOP 2802 product page
strike,7700,CSOP 2802 product page
ongoing_charge,0.012,2802 listed KFS
management_fee,0.0099,2802 listed KFS
3416_ongoing_charge,0.0075,3416 listed KFS
3416_aum_hkd,22452000000,"Global X product page, 2026-07-16"
